,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,New Mexico
21,North Carolina
22,North Dakota
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Utah
31,Vermont
32,West Virginia
33,Wisconsin
34,Wyoming
